hour,month,average_power_for_condo,min_power_for_condo,max_power_for_condo,power
12,2,127.676,79.626,172.452,127.62
13,2,127.676,79.626,172.452,132.72
14,2,127.676,79.626,172.452,132.8
15,2,127.676,79.626,172.452,133.44
16,2,127.676,79.626,172.452,138.51
17,2,127.676,79.626,172.452,146.24
18,2,127.676,79.626,172.452,155.95
19,2,127.676,79.626,172.452,158.13
20,2,127.676,79.626,172.452,157.93
21,2,127.676,79.626,172.452,155.33
22,2,127.676,79.626,172.452,147.01
23,2,127.676,79.626,172.452,135.9
0,3,127.676,79.626,172.452,111.33
1,3,127.676,79.626,172.452,108.24
2,3,127.676,79.626,172.452,107.91
3,3,127.676,79.626,172.452,107.02
4,3,127.676,79.626,172.452,107.78
5,3,127.676,79.626,172.452,111.98
6,3,127.676,79.626,172.452,117.48
7,3,127.676,79.626,172.452,120.92
8,3,127.676,79.626,172.452,118.02
9,3,127.676,79.626,172.452,117.31
10,3,127.676,79.626,172.452,116.27
11,3,127.676,79.626,172.452,117.75
12,3,127.676,79.626,172.452,116.89
13,3,127.676,79.626,172.452,116.405
14,3,127.676,79.626,172.452,114.65
15,3,127.676,79.626,172.452,117.489
16,3,127.676,79.626,172.452,123.9
17,3,127.676,79.626,172.452,130.616
18,3,127.676,79.626,172.452,137.13
19,3,127.676,79.626,172.452,141.58
20,3,127.676,79.626,172.452,141.36
21,3,127.676,79.626,172.452,134.8
22,3,127.676,79.626,172.452,124.94
23,3,127.676,79.626,172.452,115.96
0,4,127.676,79.626,172.452,92.58
1,4,127.676,79.626,172.452,90.85
2,4,127.676,79.626,172.452,90.145
3,4,127.676,79.626,172.452,89.495
4,4,127.676,79.626,172.452,90.97
5,4,127.676,79.626,172.452,94.075
6,4,127.676,79.626,172.452,98.46
7,4,127.676,79.626,172.452,101.88
8,4,127.676,79.626,172.452,102.215
9,4,127.676,79.626,172.452,103.186
10,4,127.676,79.626,172.452,103.33
11,4,127.676,79.626,172.452,102.52
12,4,127.676,79.626,172.452,101.605
13,4,127.676,79.626,172.452,101.115
14,4,127.676,79.626,172.452,101.79
15,4,127.676,79.626,172.452,103.93
16,4,127.676,79.626,172.452,108.71
17,4,127.676,79.626,172.452,112.945
18,4,127.676,79.626,172.452,116.67
19,4,127.676,79.626,172.452,119.41
20,4,127.676,79.626,172.452,119.65
21,4,127.676,79.626,172.452,114.45
22,4,127.676,79.626,172.452,105.46
23,4,127.676,79.626,172.452,96.735
0,5,127.676,79.626,172.452,82.684
1,5,127.676,79.626,172.452,81.034
2,5,127.676,79.626,172.452,80.7
3,5,127.676,79.626,172.452,80.076
4,5,127.676,79.626,172.452,80.5455
5,5,127.676,79.626,172.452,83.45
6,5,127.676,79.626,172.452,88.86
7,5,127.676,79.626,172.452,94.21
8,5,127.676,79.626,172.452,96.81
9,5,127.676,79.626,172.452,98.82
10,5,127.676,79.626,172.452,99.82
11,5,127.676,79.626,172.452,99.42
12,5,127.676,79.626,172.452,99.29
13,5,127.676,79.626,172.452,98.56
14,5,127.676,79.626,172.452,97.505
15,5,127.676,79.626,172.452,99.61
16,5,127.676,79.626,172.452,102.566
17,5,127.676,79.626,172.452,106.22
18,5,127.676,79.626,172.452,109.39
19,5,127.676,79.626,172.452,110.816
20,5,127.676,79.626,172.452,110.53
21,5,127.676,79.626,172.452,105.9
22,5,127.676,79.626,172.452,97.8
23,5,127.676,79.626,172.452,87.7
0,6,127.676,79.626,172.452,87.69
1,6,127.676,79.626,172.452,85.795
2,6,127.676,79.626,172.452,84.19
3,6,127.676,79.626,172.452,82.75
4,6,127.676,79.626,172.452,82.78
5,6,127.676,79.626,172.452,85.195
6,6,127.676,79.626,172.452,90.715
7,6,127.676,79.626,172.452,97.67
8,6,127.676,79.626,172.452,103.565
9,6,127.676,79.626,172.452,107.08
10,6,127.676,79.626,172.452,110.505
11,6,127.676,79.626,172.452,112.475
