hour,month,average_power_summer,average_power_winter,average_power_spring,average_power_fall,power
1,1,1.09316,1.00523,0.7878,1.1139,0.916225446
2,1,1.09316,1.00523,0.7878,1.1139,0.893355055
3,1,1.09316,1.00523,0.7878,1.1139,0.887997744
4,1,1.09316,1.00523,0.7878,1.1139,0.883016385
5,1,1.09316,1.00523,0.7878,1.1139,0.897427864
6,1,1.09316,1.00523,0.7878,1.1139,0.933057113
7,1,1.09316,1.00523,0.7878,1.1139,0.983896739
8,1,1.09316,1.00523,0.7878,1.1139,1.005905573
9,1,1.09316,1.00523,0.7878,1.1139,0.980372192
10,1,1.09316,1.00523,0.7878,1.1139,0.987577932
11,1,1.09316,1.00523,0.7878,1.1139,0.987969548
12,1,1.09316,1.00523,0.7878,1.1139,0.981390394
13,1,1.09316,1.00523,0.7878,1.1139,0.985541527
14,1,1.09316,1.00523,0.7878,1.1139,0.996663429
15,1,1.09316,1.00523,0.7878,1.1139,1.010839939
16,1,1.09316,1.00523,0.7878,1.1139,1.053761083
17,1,1.09316,1.00523,0.7878,1.1139,1.14704408
18,1,1.09316,1.00523,0.7878,1.1139,1.202183652
19,1,1.09316,1.00523,0.7878,1.1139,1.218999655
20,1,1.09316,1.00523,0.7878,1.1139,1.219179799
21,1,1.09316,1.00523,0.7878,1.1139,1.197249287
22,1,1.09316,1.00523,0.7878,1.1139,1.143832827
23,1,1.09316,1.00523,0.7878,1.1139,1.040132836
0,2,1.09316,1.00523,0.7878,1.1139,0.986951346
1,2,1.09316,1.00523,0.7878,1.1139,0.948103011
2,2,1.09316,1.00523,0.7878,1.1139,0.930010339
3,2,1.09316,1.00523,0.7878,1.1139,0.927543156
4,2,1.09316,1.00523,0.7878,1.1139,0.932242551
5,2,1.09316,1.00523,0.7878,1.1139,0.947178796
6,2,1.09316,1.00523,0.7878,1.1139,0.988831104
7,2,1.09316,1.00523,0.7878,1.1139,1.035746734
8,2,1.09316,1.00523,0.7878,1.1139,1.050863122
9,2,1.09316,1.00523,0.7878,1.1139,1.034963501
10,2,1.09316,1.00523,0.7878,1.1139,1.041699301
11,2,1.09316,1.00523,0.7878,1.1139,1.003947492
12,2,1.09316,1.00523,0.7878,1.1139,0.99956139
13,2,1.09316,1.00523,0.7878,1.1139,1.03950625
14,2,1.09316,1.00523,0.7878,1.1139,1.040132836
15,2,1.09316,1.00523,0.7878,1.1139,1.045145525
16,2,1.09316,1.00523,0.7878,1.1139,1.084855415
17,2,1.09316,1.00523,0.7878,1.1139,1.145399292
18,2,1.09316,1.00523,0.7878,1.1139,1.221451173
19,2,1.09316,1.00523,0.7878,1.1139,1.238525643
20,2,1.09316,1.00523,0.7878,1.1139,1.236959178
21,2,1.09316,1.00523,0.7878,1.1139,1.216595131
22,2,1.09316,1.00523,0.7878,1.1139,1.151430183
23,2,1.09316,1.00523,0.7878,1.1139,1.064413046
0,3,1.09316,1.00523,0.7878,1.1139,0.871972806
1,3,1.09316,1.00523,0.7878,1.1139,0.84777092
2,3,1.09316,1.00523,0.7878,1.1139,0.845186253
3,3,1.09316,1.00523,0.7878,1.1139,0.838215483
4,3,1.09316,1.00523,0.7878,1.1139,0.84416805
5,3,1.09316,1.00523,0.7878,1.1139,0.877063818
6,3,1.09316,1.00523,0.7878,1.1139,0.920141608
7,3,1.09316,1.00523,0.7878,1.1139,0.947084808
8,3,1.09316,1.00523,0.7878,1.1139,0.924371064
9,3,1.09316,1.00523,0.7878,1.1139,0.918810113
10,3,1.09316,1.00523,0.7878,1.1139,0.910664495
11,3,1.09316,1.00523,0.7878,1.1139,0.922256336
12,3,1.09316,1.00523,0.7878,1.1139,0.915520536
13,3,1.09316,1.00523,0.7878,1.1139,0.911721858
14,3,1.09316,1.00523,0.7878,1.1139,0.897976127
15,3,1.09316,1.00523,0.7878,1.1139,0.920212099
16,3,1.09316,1.00523,0.7878,1.1139,0.970425139
17,3,1.09316,1.00523,0.7878,1.1139,1.023027037
18,3,1.09316,1.00523,0.7878,1.1139,1.074046806
19,3,1.09316,1.00523,0.7878,1.1139,1.108900655
20,3,1.09316,1.00523,0.7878,1.1139,1.107177543
21,3,1.09316,1.00523,0.7878,1.1139,1.055797487
22,3,1.09316,1.00523,0.7878,1.1139,0.978570757
23,3,1.09316,1.00523,0.7878,1.1139,0.908236474
0,4,1.09316,1.00523,0.7878,1.1139,0.725116702
1,4,1.09316,1.00523,0.7878,1.1139,0.711566778
2,4,1.09316,1.00523,0.7878,1.1139,0.706044989
3,4,1.09316,1.00523,0.7878,1.1139,0.700953977
4,4,1.09316,1.00523,0.7878,1.1139,0.712506657
5,4,1.09316,1.00523,0.7878,1.1139,0.736826028
6,4,1.09316,1.00523,0.7878,1.1139,0.771170776
7,4,1.09316,1.00523,0.7878,1.1139,0.797957329
8,4,1.09316,1.00523,0.7878,1.1139,0.800581159
9,4,1.09316,1.00523,0.7878,1.1139,0.808186347
10,4,1.09316,1.00523,0.7878,1.1139,0.809314202
11,4,1.09316,1.00523,0.7878,1.1139,0.802970018
12,4,1.09316,1.00523,0.7878,1.1139,0.79580344
13,4,1.09316,1.00523,0.7878,1.1139,0.7919656
14,4,1.09316,1.00523,0.7878,1.1139,0.79725242
15,4,1.09316,1.00523,0.7878,1.1139,0.814013597
16,4,1.09316,1.00523,0.7878,1.1139,0.851452113
17,4,1.09316,1.00523,0.7878,1.1139,0.884622012
18,4,1.09316,1.00523,0.7878,1.1139,0.913797425
19,4,1.09316,1.00523,0.7878,1.1139,0.935257997
20,4,1.09316,1.00523,0.7878,1.1139,0.937137755
21,4,1.09316,1.00523,0.7878,1.1139,0.896409662
22,4,1.09316,1.00523,0.7878,1.1139,0.825997055
23,4,1.09316,1.00523,0.7878,1.1139,0.757660014
0,5,1.09316,1.00523,0.7878,1.1139,0.647608008
1,5,1.09316,1.00523,0.7878,1.1139,0.634684671
2,5,1.09316,1.00523,0.7878,1.1139,0.632068674
3,5,1.09316,1.00523,0.7878,1.1139,0.627181303
4,5,1.09316,1.00523,0.7878,1.1139,0.63085858
5,5,1.09316,1.00523,0.7878,1.1139,0.653607569
6,5,1.09316,1.00523,0.7878,1.1139,0.695980451
7,5,1.09316,1.00523,0.7878,1.1139,0.737883392
8,5,1.09316,1.00523,0.7878,1.1139,0.758247439
9,5,1.09316,1.00523,0.7878,1.1139,0.773990413
10,5,1.09316,1.00523,0.7878,1.1139,0.781822739
11,5,1.09316,1.00523,0.7878,1.1139,0.778689809
12,5,1.09316,1.00523,0.7878,1.1139,0.777671606
13,5,1.09316,1.00523,0.7878,1.1139,0.771954009
14,5,1.09316,1.00523,0.7878,1.1139,0.763690905
15,5,1.09316,1.00523,0.7878,1.1139,0.78017795
16,5,1.09316,1.00523,0.7878,1.1139,0.803330305
17,5,1.09316,1.00523,0.7878,1.1139,0.831949622
18,5,1.09316,1.00523,0.7878,1.1139,0.856778095
19,5,1.09316,1.00523,0.7878,1.1139,0.867946991
20,5,1.09316,1.00523,0.7878,1.1139,0.865706946
21,5,1.09316,1.00523,0.7878,1.1139,0.829443278
22,5,1.09316,1.00523,0.7878,1.1139,0.766001441
23,5,1.09316,1.00523,0.7878,1.1139,0.686894953
0,6,1.09316,1.00523,0.7878,1.1139,0.68681663
1,6,1.09316,1.00523,0.7878,1.1139,0.671974373
2,6,1.09316,1.00523,0.7878,1.1139,0.65940349
3,6,1.09316,1.00523,0.7878,1.1139,0.648124941
4,6,1.09316,1.00523,0.7878,1.1139,0.648359911
5,6,1.09316,1.00523,0.7878,1.1139,0.667274977
6,6,1.09316,1.00523,0.7878,1.1139,0.710509414
7,6,1.09316,1.00523,0.7878,1.1139,0.764983239
8,6,1.09316,1.00523,0.7878,1.1139,0.811154798
9,6,1.09316,1.00523,0.7878,1.1139,0.838685422
10,6,1.09316,1.00523,0.7878,1.1139,0.865511138
11,6,1.09316,1.00523,0.7878,1.1139,0.880940819
12,6,1.09316,1.00523,0.7878,1.1139,0.894059964
13,6,1.09316,1.00523,0.7878,1.1139,0.888459851
14,6,1.09316,1.00523,0.7878,1.1139,0.883799618
15,6,1.09316,1.00523,0.7878,1.1139,0.887715781
16,6,1.09316,1.00523,0.7878,1.1139,0.902440553
17,6,1.09316,1.00523,0.7878,1.1139,0.918026881
18,6,1.09316,1.00523,0.7878,1.1139,0.93051944
19,6,1.09316,1.00523,0.7878,1.1139,0.922647953
20,6,1.09316,1.00523,0.7878,1.1139,0.913875748
21,6,1.09316,1.00523,0.7878,1.1139,0.894960682
22,6,1.09316,1.00523,0.7878,1.1139,0.828346753
23,6,1.09316,1.00523,0.7878,1.1139,0.749318588
0,7,1.09316,1.00523,0.7878,1.1139,0.926485792
1,7,1.09316,1.00523,0.7878,1.1139,0.900639118
2,7,1.09316,1.00523,0.7878,1.1139,0.883329678
3,7,1.09316,1.00523,0.7878,1.1139,0.867116764
4,7,1.09316,1.00523,0.7878,1.1139,0.870171371
5,7,1.09316,1.00523,0.7878,1.1139,0.883642971
6,7,1.09316,1.00523,0.7878,1.1139,0.923744478
7,7,1.09316,1.00523,0.7878,1.1139,0.99956139
8,7,1.09316,1.00523,0.7878,1.1139,1.068094239
9,7,1.09316,1.00523,0.7878,1.1139,1.11360005
10,7,1.09316,1.00523,0.7878,1.1139,1.145320969
11,7,1.09316,1.00523,0.7878,1.1139,1.165919985
12,7,1.09316,1.00523,0.7878,1.1139,1.18409098
13,7,1.09316,1.00523,0.7878,1.1139,1.180495943
